,CMake,Automake,GNU Make,SCons
2004-01,10,79,84,8
2004-02,9,76,100,11
2004-03,11,87,90,22
2004-04,10,78,98,12
2004-05,9,52,70,16
2004-06,15,71,73,12
2004-07,13,68,77,26
2004-08,6,57,78,14
2004-09,9,58,73,15
2004-10,12,46,74,14
2004-11,12,63,70,17
2004-12,12,49,65,17
2005-01,10,55,68,21
2005-02,11,53,67,24
2005-03,12,47,73,19
2005-04,7,40,64,17
2005-05,9,44,65,22
2005-06,15,40,64,31
2005-07,11,45,62,26
2005-08,7,42,60,20
2005-09,12,35,53,35
2005-10,11,40,56,28
2005-11,8,47,57,25
2005-12,9,43,40,24
2006-01,10,34,53,25
2006-02,14,45,49,22
2006-03,13,36,43,23
2006-04,12,29,46,25
2006-05,18,38,46,20
2006-06,20,35,45,22
2006-07,30,35,38,24
2006-08,26,28,40,25
2006-09,22,30,46,22
2006-10,27,32,42,27
2006-11,24,29,45,26
2006-12,19,32,32,24
2007-01,29,27,33,25
2007-02,32,27,32,25
2007-03,33,28,33,21
2007-04,31,25,36,23
2007-05,27,28,35,19
2007-06,31,26,30,20
2007-07,31,25,28,22
2007-08,29,25,31,20
2007-09,29,18,28,21
2007-10,28,22,32,20
2007-11,32,23,28,17
2007-12,31,25,22,14
2008-01,31,17,29,14
2008-02,33,18,27,14
2008-03,33,19,24,17
2008-04,34,19,23,16
2008-05,33,16,23,15
2008-06,29,17,22,17
2008-07,34,19,21,16
2008-08,33,17,24,16
2008-09,33,16,23,20
2008-10,36,18,20,17
2008-11,38,14,23,17
2008-12,33,13,19,15
2009-01,37,14,18,16
2009-02,39,15,21,17
2009-03,38,12,17,17
2009-04,42,14,20,16
2009-05,41,12,17,16
2009-06,37,14,18,14
2009-07,44,14,19,15
2009-08,39,14,16,16
2009-09,44,11,19,15
2009-10,43,11,19,15
2009-11,43,11,17,13
2009-12,43,12,15,12
2010-01,43,10,14,12
2010-02,43,9,14,11
2010-03,52,12,16,13
2010-04,49,11,16,14
2010-05,51,10,15,14
2010-06,49,10,13,13
2010-07,48,9,13,15
2010-08,46,10,12,12
2010-09,48,8,13,12
2010-10,49,9,13,11
2010-11,50,8,14,11
2010-12,48,8,12,10
2011-01,48,8,12,11
2011-02,48,6,12,11
2011-03,54,8,13,12
2011-04,50,7,11,12
2011-05,46,7,11,10
2011-06,48,7,11,10
2011-07,46,6,10,10
2011-08,47,6,10,11
2011-09,48,7,11,10
2011-10,50,6,11,10
2011-11,47,6,10,11
2011-12,42,6,7,9
2012-01,43,5,9,9
2012-02,48,7,9,11
2012-03,50,6,10,10
2012-04,48,6,9,9
2012-05,49,6,8,9
2012-06,47,6,9,9
2012-07,47,6,9,10
2012-08,47,6,8,8
2012-09,48,6,8,9
2012-10,53,6,9,8
2012-11,47,5,6,8
2012-12,42,4,6,7
2013-01,48,5,8,8
2013-02,52,5,8,9
2013-03,51,5,7,8
2013-04,52,5,6,8
2013-05,47,5,7,9
2013-06,50,5,7,9
2013-07,49,5,6,8
2013-08,47,5,6,7
2013-09,49,5,6,7
2013-10,53,5,7,8
2013-11,53,5,6,7
2013-12,45,5,6,7
2014-01,48,4,5,8
2014-02,52,5,6,8
2014-03,52,5,6,8
2014-04,54,5,6,7
2014-05,50,5,5,7
2014-06,45,4,5,7
2014-07,48,4,5,7
2014-08,49,4,5,7
2014-09,49,5,5,7
2014-10,51,4,5,7
2014-11,50,4,5,7
2014-12,45,3,5,6
2015-01,49,3,5,6
2015-02,56,4,5,7
2015-03,54,4,5,6
2015-04,55,4,5,7
2015-05,51,3,4,6
2015-06,54,4,4,7
2015-07,54,4,4,7
2015-08,51,4,4,6
2015-09,53,3,4,6
2015-10,58,4,4,7
2015-11,56,3,4,6
2015-12,50,3,3,4
2016-01,57,3,4,6
2016-02,67,4,5,6
2016-03,72,3,4,7
2016-04,70,4,4,6
2016-05,65,4,4,7
2016-06,70,4,5,6
2016-07,62,3,3,6
2016-08,61,3,3,5
2016-09,70,3,4,5
2016-10,70,3,4,4
2016-11,74,3,4,6
2016-12,69,3,3,5
2017-01,75,3,4,5
2017-02,77,3,4,6
2017-03,89,4,4,5
2017-04,83,3,4,5
2017-05,81,3,4,5
2017-06,81,3,3,5
2017-07,75,3,3,5
2017-08,76,3,3,5
2017-09,78,3,3,5
2017-10,83,3,3,5
2017-11,86,3,4,4
2017-12,73,3,3,4
2018-01,83,3,4,5
2018-02,86,3,4,4
2018-03,81,3,3,5
2018-04,82,3,3,5
2018-05,81,3,4,4
2018-06,82,3,3,4
2018-07,83,3,3,5
2018-08,79,3,3,5
